Store,Date,Weekly_Sales,Predicted_Sales,Residual,Absolute_Error
1,2012-04-13,1621031.7,1574223.198,46808.50223,46808.50223
1,2012-04-20,1521577.87,1534275.483,-12697.61318,12697.61318
1,2012-04-27,1468928.37,1498722.687,-29794.31739,29794.31739
1,2012-05-04,1684519.99,1623461.377,61058.6134,61058.6134
1,2012-05-11,1611096.05,1581165.317,29930.73339,29930.73339
1,2012-05-18,1595901.87,1534797.653,61104.21663,61104.21663
1,2012-05-25,1555444.55,1510821.28,44623.27,44623.27
1,2012-06-01,1624477.58,1639376.904,-14899.32366,14899.32366
1,2012-06-08,1697230.96,1603203.729,94027.23135,94027.23135
1,2012-06-15,1630607,1570254.175,60352.82478,60352.82478
1,2012-06-22,1527845.81,1535213.69,-7367.879922,7367.879922
1,2012-06-29,1540421.49,1518678.338,21743.15158,21743.15158
1,2012-07-06,1769854.16,1579908.969,189945.1909,189945.1909
1,2012-07-13,1527014.04,1545687.498,-18673.45754,18673.45754
1,2012-07-20,1497954.76,1531315.072,-33360.31246,33360.31246
1,2012-07-27,1439123.71,1518253.065,-79129.35462,79129.35462
1,2012-08-03,1631135.79,1595867.823,35267.96679,35267.96679
1,2012-08-10,1592409.97,1583421.223,8988.746942,8988.746942
1,2012-08-17,1597868.05,1577290.65,20577.39965,20577.39965
1,2012-08-24,1494122.38,1560470.861,-66348.48124,66348.48124
1,2012-08-31,1582083.4,1569161.851,12921.5485,12921.5485
1,2012-09-07,1661767.33,1530320.219,131447.1114,131447.1114
1,2012-09-14,1517428.87,1513597.393,3831.476645,3831.476645
1,2012-09-21,1506126.06,1516505.16,-10379.10041,10379.10041
1,2012-09-28,1437059.26,1546942.341,-109883.081,109883.081
1,2012-10-05,1670785.97,1517446.576,153339.3938,153339.3938
1,2012-10-12,1573072.81,1527768.997,45303.81298,45303.81298
1,2012-10-19,1508068.77,1561756.084,-53687.31372,53687.31372
1,2012-10-26,1493659.74,1589097.218,-95437.47831,95437.47831
2,2012-04-13,1935869.1,1974583.269,-38714.16886,38714.16886
2,2012-04-20,1847344.45,1934462.188,-87117.73849,87117.73849
2,2012-04-27,1764133.09,1901147.725,-137014.6348,137014.6348
2,2012-05-04,1923957.09,2028490.807,-104533.7165,104533.7165
2,2012-05-11,1917520.99,1983868.08,-66347.0897,66347.0897
2,2012-05-18,2000940.67,1939309.877,61630.79297,61630.79297
2,2012-05-25,1912791.09,1915399.505,-2608.415183,2608.415183
2,2012-06-01,1910092.37,2042793.749,-132701.3795,132701.3795
2,2012-06-08,2010216.49,2006535.845,3680.645096,3680.645096
2,2012-06-15,1962924.3,1975352.59,-12428.29017,12428.29017
2,2012-06-22,1887733.21,1943411.421,-55678.21115,55678.21115
2,2012-06-29,1881046.12,1924269.139,-43223.01886,43223.01886
2,2012-07-06,2041507.4,1992793.655,48713.74466,48713.74466
2,2012-07-13,1830075.13,1959475.132,-129400.0023,129400.0023
2,2012-07-20,1819666.46,1944584.978,-124918.5179,124918.5179
2,2012-07-27,1757923.88,1933460.004,-175536.1239,175536.1239
2,2012-08-03,1946104.64,2011935.145,-65830.50518,65830.50518
2,2012-08-10,1866719.96,1998174.095,-131454.135,131454.135
2,2012-08-17,1928016.01,1984376.062,-56360.05246,56360.05246
2,2012-08-24,1876788.15,1966068.211,-89280.06094,89280.06094
2,2012-08-31,1947083.3,1981001.489,-33918.18883,33918.18883
2,2012-09-07,1898777.07,1945473.655,-46696.58483,46696.58483
2,2012-09-14,1814806.63,1922762.374,-107955.7443,107955.7443
2,2012-09-21,1829415.67,1926335.424,-96919.75371,96919.75371
2,2012-09-28,1746470.56,1961399.961,-214929.4007,214929.4007
2,2012-10-05,1998321.04,1931469.598,66851.44233,66851.44233
2,2012-10-12,1900745.13,1933736.432,-32991.30169,32991.30169
2,2012-10-19,1847990.41,1972309.734,-124319.3242,124319.3242
2,2012-10-26,1834458.35,2000770.592,-166312.2416,166312.2416
3,2012-04-13,420789.74,428244.9856,-7455.245606,7455.245606
3,2012-04-20,434822.13,391602.4865,43219.64348,43219.64348
