Feature,Importance,Importance_%
Store,0.8991725502,89.91725502
CPI,0.03919368026,3.919368026
WeekOfYear,0.03641530463,3.641530463
Temperature,0.005805930151,0.5805930151
WeekCos,0.004356325438,0.4356325438
WeekSin,0.003868864149,0.3868864149
TimeIndex,0.002957714088,0.2957714088
Fuel_Price,0.002344859119,0.2344859119
Month,0.002178298564,0.2178298564
MonthCos,0.0009217461239,0.09217461239
Unemployment,0.0008197807727,0.08197807727
MonthSin,0.0007416656152,0.07416656152
Holiday_Flag,0.0007132962356,0.07132962356
Quarter,0.000273846115,0.0273846115
Year,0.0002361385797,0.02361385797
